Date,Weight Class,Method,Round,Time,Fighter 1 Name,Fighter 1 Result,Fighter 1 KD,Fighter 1 SIG STR,Fighter 1 TD,Fighter 1 SUB ATT,Fighter 1 REV,Fighter 1 Ctrl,Fighter 1 Distance,Fighter 1 Clinch,Fighter 1 Ground,Fighter 2 Name,Fighter 2 Result,Fighter 2 KD,Fighter 2 SIG STR,Fighter 2 TD,Fighter 2 SUB ATT,Fighter 2 REV,Fighter 2 Ctrl,Fighter 2 Distance,Fighter 2 Clinch,Fighter 2 Ground
"August 05, 2023",Catch Weight Bout,Method:Decision - Unanimous,Round:5,Time:5:00,Cory Sandhagen,W,0,34 of 84,7 of 7,1,0,19:38,10 of 47,0 of 1,24 of 36,Rob Font,L,0,9 of 49,1 of 2,0,0,1:08,8 of 44,0 of 3,1 of 2
"August 05, 2023",Women's Strawweight Bout,Method:Submission,Round:2,Time:1:31,Jessica Andrade,L,0,11 of 29,0 of 0,0,0,0:17,8 of 23,3 of 6,0 of 0,Tatiana Suarez,W,0,23 of 49,3 of 3,1,0,2:22,13 of 36,10 of 13,0 of 0
"August 05, 2023",Light Heavyweight Bout,Method:KO/TKO,Round:1,Time:1:22,Dustin Jacoby,W,1,10 of 33,0 of 0,0,0,0:04,10 of 26,0 of 0,0 of 7,Kennedy Nzechukwu,L,0,4 of 18,0 of 0,0,0,0:00,4 of 18,0 of 0,0 of 0
"August 05, 2023",Featherweight Bout,Method:Submission,Round:1,Time:1:38,Diego Lopes,W,0,0 of 4,0 of 0,3,0,0:00,0 of 4,0 of 0,0 of 0,Gavin Tucker,L,0,0 of 6,1 of 1,0,0,0:39,0 of 6,0 of 0,0 of 0
"August 05, 2023",Light Heavyweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Tanner Boser,W,0,120 of 215,0 of 0,0,0,5:27,87 of 174,33 of 41,0 of 0,Aleksa Camur,L,0,68 of 136,0 of 1,0,0,1:01,46 of 108,22 of 28,0 of 0
"August 05, 2023",Lightweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Ignacio Bahamondes,L,0,43 of 139,0 of 1,0,0,0:07,41 of 133,2 of 6,0 of 0,Ludovit Klein,W,0,56 of 108,3 of 5,0,0,6:05,43 of 88,1 of 1,12 of 19
"August 05, 2023",Bantamweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Kyler Phillips,W,1,72 of 187,1 of 4,0,0,0:47,62 of 174,6 of 8,4 of 5,Raoni Barcelos,L,0,46 of 116,3 of 11,0,0,1:42,39 of 105,7 of 10,0 of 1
"August 05, 2023",Welterweight Bout,Method:Submission,Round:3,Time:1:50,Jeremiah Wells,L,0,18 of 48,3 of 5,2,0,9:26,5 of 25,2 of 3,11 of 20,Carlston Harris,W,0,5 of 19,0 of 1,1,0,0:13,5 of 19,0 of 0,0 of 0
"August 05, 2023",Featherweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Billy Quarantillo,W,0,100 of 188,0 of 0,1,0,1:51,58 of 140,42 of 48,0 of 0,Damon Jackson,L,0,67 of 173,3 of 13,0,0,6:10,53 of 148,10 of 15,4 of 10
"August 05, 2023",Flyweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Cody Durden,W,0,38 of 85,4 of 6,1,0,7:25,30 of 67,1 of 1,7 of 17,Jake Hadley,L,0,26 of 83,0 of 3,3,1,2:04,23 of 76,3 of 7,0 of 0
"August 05, 2023",Featherweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Sean Woodson,W,0,71 of 126,4 of 5,0,0,5:52,61 of 113,8 of 11,2 of 2,Dennis Buzukja,L,0,42 of 116,0 of 1,0,1,2:30,32 of 96,5 of 8,5 of 12
"August 05, 2023",Flyweight Bout,Method:Submission,Round:2,Time:3:11,Ode Osbourne,L,0,4 of 18,0 of 0,0,0,0:21,3 of 17,0 of 0,1 of 1,Assu Almabayev,W,0,26 of 40,2 of 5,2,0,5:24,9 of 14,0 of 0,17 of 26
"July 29, 2023",Lightweight Bout,Method:KO/TKO,Round:2,Time:1:00,Dustin Poirier,L,0,27 of 52,0 of 0,0,0,0:00,25 of 49,2 of 3,0 of 0,Justin Gaethje,W,1,41 of 66,0 of 0,0,0,0:00,38 of 63,2 of 2,1 of 1
"July 29, 2023",Light Heavyweight Bout,Method:Decision - Split,Round:3,Time:5:00,Jan Blachowicz,L,0,52 of 81,3 of 8,2,0,7:32,41 of 67,3 of 5,8 of 9,Alex Pereira,W,0,70 of 92,0 of 0,1,0,0:06,62 of 83,7 of 8,1 of 1
"July 29, 2023",Heavyweight Bout,Method:KO/TKO,Round:1,Time:0:33,Derrick Lewis,W,1,17 of 33,0 of 0,0,0,0:29,1 of 1,0 of 0,16 of 32,Marcos Rogerio de Lima,L,0,1 of 1,0 of 0,0,0,0:00,0 of 0,0 of 0,1 of 1
"July 29, 2023",Lightweight Bout,Method:Submission,Round:3,Time:4:54,Tony Ferguson,L,0,54 of 123,0 of 3,0,0,0:13,50 of 118,2 of 2,2 of 3,Bobby Green,W,0,137 of 217,0 of 0,1,0,3:25,115 of 183,1 of 1,21 of 33
"July 29, 2023",Welterweight Bout,Method:Submission,Round:1,Time:2:39,Michael Chiesa,L,0,4 of 11,0 of 5,0,0,0:15,3 of 7,1 of 4,0 of 0,Kevin Holland,W,0,9 of 16,0 of 0,1,0,0:40,4 of 9,4 of 5,1 of 2
"July 29, 2023",Welterweight Bout,Method:Submission,Round:1,Time:1:13,Gabriel Bonfim,W,0,3 of 11,1 of 1,1,0,0:26,3 of 11,0 of 0,0 of 0,Trevin Giles,L,0,1 of 5,0 of 0,0,0,0:14,1 of 5,0 of 0,0 of 0
"July 29, 2023",Flyweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,CJ Vergara,W,0,109 of 181,0 of 0,0,0,0:00,104 of 176,5 of 5,0 of 0,Vinicius Salvador,L,0,88 of 195,0 of 2,0,0,0:01,87 of 194,1 of 1,0 of 0
"July 29, 2023",Middleweight Bout,Method:KO/TKO,Round:2,Time:0:33,Roman Kopylov,W,1,32 of 42,0 of 0,0,0,0:03,29 of 38,2 of 3,1 of 1,Claudio Ribeiro,L,0,32 of 59,0 of 1,0,0,0:16,29 of 56,3 of 3,0 of 0
"July 29, 2023",Welterweight Bout,Method:Submission,Round:2,Time:2:37,Jake Matthews,W,0,60 of 101,0 of 1,1,0,1:15,47 of 84,2 of 5,11 of 12,Darrius Flowers,L,0,36 of 64,1 of 3,0,0,1:03,31 of 57,5 of 7,0 of 0
"July 29, 2023",Welterweight Bout,Method:KO/TKO,Round:3,Time:2:36,Matthew Semelsberger,L,1,52 of 120,0 of 2,0,0,1:13,42 of 106,3 of 5,7 of 9,Uros Medic,W,1,69 of 128,1 of 1,0,0,0:22,50 of 104,13 of 18,6 of 6
"July 29, 2023",Women's Flyweight Bout,Method:Submission,Round:3,Time:2:11,Miranda Maverick,W,0,36 of 51,3 of 9,1,0,8:54,16 of 29,2 of 2,18 of 20,Priscila Cachoeira,L,0,11 of 23,0 of 0,0,0,0:00,10 of 22,0 of 0,1 of 1
"July 22, 2023",Heavyweight Bout,Method:KO/TKO,Round:1,Time:1:13,Tom Aspinall,W,1,13 of 18,0 of 0,0,0,0:05,7 of 10,0 of 0,6 of 8,Marcin Tybura,L,0,4 of 15,0 of 0,0,0,0:00,4 of 15,0 of 0,0 of 0
"July 22, 2023",Women's Flyweight Bout,Method:Submission,Round:1,Time:1:55,Molly McCann,L,0,6 of 16,0 of 0,0,0,0:07,6 of 16,0 of 0,0 of 0,Julija Stoliarenko,W,0,9 of 29,1 of 1,1,0,0:19,9 of 29,0 of 0,0 of 0
"July 22, 2023",Featherweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Nathaniel Wood,W,1,84 of 148,1 of 2,0,0,1:47,71 of 123,0 of 0,13 of 25,Andre Fili,L,1,58 of 151,0 of 2,0,1,2:55,53 of 144,3 of 5,2 of 2
