Fighter 1 Name,Number of Fights,KOTKO_Rate,Submission_Rate,TD Success Rate,SIG STR Accuracy,Control Time Rate,Prop Distance Strikes,Prop Clinch Strikes,Prop Ground Strikes,Activity Measure,Win rate,TD Defense Rate,Striking Defense Rate,Uncontrolled Time Rate
Leonardo Santos,10.0,0.2,0.2,0.3181818181818182,0.4813664596273292,0.1448441247002398,0.6870967741935484,0.12580645161290321,0.1870967741935484,3.0599520383693046,0.7,0.8421052631578947,0.5151515151515151,0.7394084732214229
Li Jingliang,17.0,0.47058823529411764,0.0,0.4166666666666667,0.4275092936802974,0.08331024291124044,0.8633540372670807,0.049689440993788817,0.08695652173913043,4.555278470490441,0.6470588235294118,0.6046511627906976,0.5771812080536913,0.8340260459961208
Lina Lansberg,11.0,0.0,0.0,0.2777777777777778,0.5547652916073968,0.2630367215379303,0.4076923076923077,0.4358974358974359,0.1564102564102564,2.748935190514562,0.36363636363636365,0.4736842105263158,0.4411177644710579,0.5339012317255669
Liz Carmouche,10.0,0.1,0.0,0.6097560975609756,0.5304054054054054,0.29619754231393464,0.5636942675159236,0.1464968152866242,0.2898089171974522,2.385810340830049,0.5,0.6666666666666667,0.6492450638792102,0.7340598191514027
Lorenz Larkin,10.0,0.3,0.0,0.25,0.4463470319634703,0.054469918448992155,0.7493606138107417,0.1918158567774936,0.058823529411764705,3.637482689644561,0.5,0.7954545454545454,0.6252900232018561,0.7533466687182644
Louis Smolka,17.0,0.23529411764705882,0.11764705882352941,0.35294117647058826,0.4742857142857143,0.28327075511055483,0.6091030789825971,0.10843373493975904,0.2824631860776439,4.987484355444305,0.47058823529411764,0.3220338983050848,0.5363443895553988,0.7462453066332917
Luke Rockhold,11.0,0.2727272727272727,0.2727272727272727,0.3,0.5688350983358548,0.22063149637183763,0.5930851063829787,0.06914893617021277,0.3377659574468085,4.577368111394391,0.5454545454545454,0.5384615384615384,0.48275862068965514,0.8317317121004119
Lyoto Machida,24.0,0.2916666666666667,0.041666666666666664,0.6363636363636364,0.5173410404624278,0.1563721201516477,0.7108938547486033,0.12430167597765363,0.164804469273743,2.589676290463692,0.6666666666666666,0.7647058823529411,0.6259109311740891,0.9057451151939341
Mac Danzig,13.0,0.07692307692307693,0.15384615384615385,0.375,0.49898580121703856,0.2172523961661342,0.6869918699186992,0.19715447154471544,0.11585365853658537,3.6421725239616616,0.38461538461538464,0.47916666666666663,0.5721973094170403,0.6700982132292036
Mackenzie Dern,11.0,0.0,0.36363636363636365,0.1509433962264151,0.40209508460918614,0.31362871564778455,0.6813627254509018,0.12424849699398798,0.19438877755511022,3.5401009534492425,0.7272727272727273,0.4,0.5139888089528377,0.8544026920919798
Magomed Ankalaev,10.0,0.5,0.0,0.3333333333333333,0.5470430107526881,0.2858421602267641,0.6535626535626535,0.10319410319410319,0.24324324324324326,3.7237058033716246,0.9,0.8636363636363636,0.6036484245439468,0.9512158734894823
Makwan Amirkhani,14.0,0.07142857142857142,0.2857142857142857,0.43037974683544306,0.4418604651162791,0.34726355285289173,0.6432748538011696,0.023391812865497075,0.3333333333333333,1.69232759736059,0.5,0.3571428571428571,0.4606741573033708,0.7715098977875534
Manvel Gamburyan,14.0,0.0,0.21428571428571427,0.30337078651685395,0.4042232277526395,0.262719466871716,0.6380597014925373,0.24253731343283583,0.11940298507462686,2.3375624759707803,0.42857142857142855,0.7352941176470589,0.5410404624277456,0.7925156990900936
Marc Diakiese,14.0,0.14285714285714285,0.0,0.4457831325301205,0.40394973070017953,0.2990225413923798,0.84,0.09777777777777778,0.06222222222222222,2.926391382405745,0.5,0.6875,0.5312820512820513,0.8677438659485338
Marc-Andre Barriault,10.0,0.2,0.1,0.14285714285714285,0.4671841919548342,0.10185862725010976,0.6404833836858006,0.2809667673716012,0.07854984894259819,5.83930923459681,0.5,0.6666666666666667,0.5358231707317074,0.7294014342163032
Marcin Tybura,18.0,0.2222222222222222,0.0,0.3389830508474576,0.4842370744010088,0.2852744207528289,0.6940104166666666,0.1015625,0.20442708333333334,3.6486798552844277,0.6111111111111112,0.7941176470588236,0.5557598039215687,0.8575167423600955
Marcos Rogerio de Lima,17.0,0.29411764705882354,0.11764705882352941,0.47619047619047616,0.5866209262435678,0.43862068965517237,0.6666666666666666,0.10526315789473684,0.22807017543859648,3.693103448275862,0.5882352941176471,0.6666666666666667,0.5208747514910537,0.82
Marcus Davis,15.0,0.2,0.26666666666666666,0.4827586206896552,0.39732142857142855,0.22694313700547009,0.6797752808988764,0.18820224719101122,0.13202247191011235,2.915659585294492,0.6,0.4782608695652174,0.6569821930646673,0.7866683628037145
Marina Rodriguez,10.0,0.2,0.0,0.3333333333333333,0.49382716049382713,0.07146042363433668,0.6388888888888888,0.2625,0.09861111111111111,4.849498327759197,0.7,0.7,0.583686440677966,0.6894091415830547
Marion Reneau,12.0,0.16666666666666666,0.16666666666666666,0.6363636363636364,0.3994910941475827,0.10317460317460315,0.6878980891719745,0.208067940552017,0.1040339702760085,3.1402831402831404,0.4166666666666667,0.5,0.6022889842632332,0.7175032175032175
Mark Bocek,13.0,0.0,0.3076923076923077,0.3673469387755102,0.43647798742138366,0.5458638154192459,0.3025936599423631,0.30835734870317005,0.38904899135446686,2.6944288126055147,0.6153846153846154,0.3125,0.6050516647531573,0.8431063590320765
Mark Hunt,16.0,0.4375,0.0,0.625,0.4042316258351893,0.08245286927698363,0.837465564738292,0.08539944903581267,0.07713498622589532,2.2995649471721564,0.5,0.65625,0.5047709923664122,0.7616532007458048
Mark Munoz,15.0,0.26666666666666666,0.0,0.3010752688172043,0.5038363171355499,0.3288213510407355,0.3147208121827411,0.24873096446700507,0.4365482233502538,3.2945983910100876,0.6,0.5675675675675675,0.565155807365439,0.7847018260758525
Marlon Moraes,11.0,0.18181818181818182,0.09090909090909091,0.4166666666666667,0.4061624649859944,0.07041981040820273,0.9206896551724137,0.013793103448275862,0.06551724137931035,3.4474753337202553,0.45454545454545453,0.46153846153846156,0.5417156286721504,0.886051460630683
Marlon Vera,22.0,0.3181818181818182,0.18181818181818182,0.39285714285714285,0.5054989816700611,0.10704423946889137,0.7703464947622884,0.10797743755036261,0.12167606768734891,4.480347805651842,0.6818181818181818,0.7027027027027026,0.5179571663920923,0.7841489924211269
Martin Kampmann,17.0,0.11764705882352941,0.29411764705882354,0.41304347826086957,0.4236706689536878,0.2951336085161851,0.6052631578947368,0.22267206477732793,0.1720647773279352,3.4998913751900935,0.6470588235294118,0.7846153846153846,0.6204819277108433,0.8201173147946991
Marvin Vettori,14.0,0.0,0.14285714285714285,0.45901639344262296,0.45972163644032055,0.22007398617993995,0.8504587155963302,0.06513761467889909,0.08440366972477065,4.711384099951141,0.6428571428571429,0.675,0.5569948186528497,0.9362043693725134
Maryna Moroz,11.0,0.0,0.18181818181818182,0.2222222222222222,0.3154929577464789,0.18478260869565216,0.8214285714285714,0.06964285714285715,0.10892857142857143,4.246541501976284,0.5454545454545454,0.44999999999999996,0.5313971742543171,0.8323863636363636
Matt Brown,30.0,0.43333333333333335,0.06666666666666667,0.4696969696969697,0.5544290288153682,0.2144751114860793,0.5640038498556305,0.26564003849855633,0.17035611164581327,3.9701096781969385,0.5666666666666667,0.6386554621848739,0.5511111111111111,0.6605399542003134
Matt Hamill,15.0,0.3333333333333333,0.0,0.34065934065934067,0.42421991084695393,0.23291357227424392,0.6795096322241682,0.09632224168126094,0.22416812609457093,3.8876331934129804,0.6666666666666666,0.9166666666666666,0.6140235910878113,0.9750295985362178
Matt Hughes,24.0,0.25,0.20833333333333334,0.5060240963855421,0.535377358490566,0.5658021133525456,0.30837004405286345,0.09691629955947137,0.5947136563876652,2.478386167146974,0.7083333333333334,0.3529411764705882,0.5373134328358209,0.8575888568683958
Matt Lindland,12.0,0.25,0.08333333333333333,0.5,0.51985559566787,0.6618212911500642,0.1388888888888889,0.3645833333333333,0.4965277777777778,2.8131680205215903,0.75,0.6470588235294117,0.5048543689320388,0.8768704574604532
Matt Mitrione,14.0,0.5714285714285714,0.0,0.0,0.5008,0.07321225879682179,0.7507987220447284,0.09584664536741214,0.15335463258785942,3.5981838819523273,0.6428571428571429,0.5517241379310345,0.646043165467626,0.7272039349224366
Matt Schnell,11.0,0.0,0.2727272727272727,0.4444444444444444,0.3833145434047351,0.05464707099979301,0.8411764705882353,0.08235294117647059,0.07647058823529412,4.37176567998344,0.5454545454545454,0.5,0.5770609318996416,0.8743531359966881
Matt Serra,14.0,0.14285714285714285,0.07142857142857142,0.20909090909090908,0.3978494623655914,0.34240744407048107,0.5945945945945946,0.17717717717717718,0.22822822822822822,2.203524054642645,0.5,0.3870967741935484,0.46506024096385545,0.7899425856266086
Matt Wiman,18.0,0.1111111111111111,0.16666666666666666,0.3787878787878788,0.5008992805755396,0.3442389758179232,0.44344703770197486,0.2495511669658887,0.30700179533213645,3.4480796586059745,0.5555555555555556,0.5609756097560976,0.5109204368174727,0.6590801327643433
Matthew Riddle,10.0,0.1,0.0,0.5272727272727272,0.41735918744228995,0.4698522402287893,0.3407079646017699,0.3141592920353982,0.34513274336283184,3.4818875119161103,0.7,0.8888888888888888,0.5600448933782267,0.8633222116301239
Mauricio Rua,23.0,0.34782608695652173,0.0,0.43333333333333335,0.5208207604103802,0.21267511674449635,0.7010428736964078,0.14947856315179606,0.14947856315179606,3.5743829219479655,0.4782608695652174,0.4590163934426229,0.5244371224601867,0.8072715143428952
Max Griffin,15.0,0.2,0.0,0.41304347826086957,0.4931077694235589,0.17178710514928602,0.8348157560355781,0.09911054637865312,0.06607369758576874,4.2215491129381215,0.4666666666666667,0.6956521739130435,0.5773942093541202,0.8464733881436608
Max Holloway,28.0,0.32142857142857145,0.07142857142857142,0.5333333333333333,0.4761691986893059,0.05834889802017183,0.8695652173913043,0.07663434469815451,0.053800437910541135,7.205827418752334,0.75,0.8410596026490066,0.5981042654028437,0.9111692192753081
Maycee Barber,10.0,0.4,0.0,0.34782608695652173,0.5010204081632653,0.19577625570776255,0.45621181262729127,0.34826883910386963,0.1955193482688391,4.323630136986301,0.8,0.38888888888888884,0.5740223463687151,0.6516837899543378
Melvin Guillard,21.0,0.3333333333333333,0.0,0.7,0.3994540491355778,0.08913520378709157,0.6993166287015945,0.12300683371298406,0.1776765375854214,3.1659161759612053,0.5714285714285714,0.651685393258427,0.6807738814993953,0.7631913173998384
Merab Dvalishvili,11.0,0.09090909090909091,0.0,0.3627450980392157,0.41415249588590236,0.4066896212493852,0.5947019867549669,0.1403973509933775,0.26490066225165565,4.91096901131333,0.8181818181818182,0.7894736842105263,0.5696202531645569,0.9459911460895228
Michael Bisping,29.0,0.3448275862068966,0.0,0.43333333333333335,0.3766826923076923,0.0908676423653855,0.811104020421187,0.09700063816209317,0.09189534141671984,4.3769662152920255,0.6896551724137931,0.6326530612244898,0.6536061026352289,0.8495417863493366
Michael Chiesa,18.0,0.0,0.3333333333333333,0.5066666666666667,0.40973111395646605,0.4375,0.575,0.128125,0.296875,2.170436817472699,0.6111111111111112,0.6060606060606061,0.5418641390205372,0.796119344773791
Michael Johnson,28.0,0.17857142857142858,0.0,0.38461538461538464,0.39143990929705214,0.06862745098039216,0.88848660391021,0.07241129616220131,0.0391020999275887,4.318885448916409,0.4642857142857143,0.8076923076923077,0.5803986710963456,0.8125902992776057
Michal Oleksiejczuk,11.0,0.5454545454545454,0.0,0.3333333333333333,0.49327354260089684,0.1105931105931106,0.7636363636363637,0.051515151515151514,0.18484848484848485,5.174825174825175,0.6363636363636364,0.4838709677419355,0.5962373371924747,0.8166278166278166
Michel Prazeres,14.0,0.0,0.21428571428571427,0.36,0.4716106604866744,0.3258754863813229,0.7321867321867321,0.10319410319410319,0.16461916461916462,2.6906614785992216,0.7142857142857143,0.4782608695652174,0.5755182625863771,0.8425097276264591
Michelle Waterson-Gomez,14.0,0.0,0.14285714285714285,0.2903225806451613,0.4597213809812235,0.1938340439488357,0.7075098814229249,0.18840579710144928,0.10408432147562582,3.866841587405707,0.42857142857142855,0.7096774193548387,0.4922222222222222,0.8136274188258446
Mickey Gall,11.0,0.0,0.45454545454545453,0.30434782608695654,0.4602888086642599,0.2056164647047509,0.6941176470588235,0.13725490196078433,0.16862745098039217,3.185227928447778,0.5454545454545454,0.36363636363636365,0.4910096818810512,0.7057126370455857
